CountryID,CO2 
ABW,883.747
AFG,8672.455
AGO,34693.487
ALB,4536.079
AND,469.376
ARB,1904104.418
ARE,206323.755
ARG,201347.636
ARM,5155.802
ATG,557.384
AUS,375907.837
AUT,61447.919
AZE,37619.753
BDI,495.045
BEL,96889.474
BEN,6475.922
BFA,3417.644
BGD,84245.658
BGR,41708.458
BHR,31693.881
BHS,1785.829
BIH,21847.986
BLR,58279.631
BLZ,568.385
BMU,612.389
BOL,21605.964
BRA,462298.69
BRB,1276.116
BRN,7664.03
BTN,1261.448
BWA,6340.243
CAF,297.027
CAN,544894.198
CEB,656858.709
CHE,34477.134
CHL,85822.468
CHN,9893037.952
CIV,9673.546
CMR,8291.087
COD,2020.517
COG,3281.965
COL,97813.558
COM,201.685
CPV,542.716
CRI,8023.396
CSS,61722.944
CUB,28283.571
CUW,5390.49
CYM,546.383
CYP,6626.269
CZE,102217.625
DEU,727972.84
DJI,619.723
DMA,179.683
DNK,31785.556
DOM,25258.296
DZA,150005.969
EAP,11421388.28
EAR,7422679.061
EAS,13955922.02
ECA,2979371.494
ECS,6269012.208
ECU,41154.741
EGY,238560.352
EMU,2228500.891
ERI,711.398
ESP,244002.18
EST,16589.508
ETH,14869.685
EUU,2881620.536
FCS,712685.8773
FIN,45870.503
FJI,2046.186
FRO,630.724
FSM,143.013
GAB,5320.817
GBR,379024.787
GEO,10128.254
GHA,16670.182
GIB,634.391
GIN,2995.939
GMB,531.715
GNB,293.36
GNQ,5654.514
GRC,62434.342
GRD,267.691
GRL,509.713
GTM,16776.525
GUY,2383.55
HIC,12669524.37
HKG,43644.634
HND,9812.892
HPC,204424.249
HRV,17487.923
HTI,2977.604
HUN,45536.806
IBD,20735704.23
IBT,21601125.13
IDA,860923.1861
IDB,465496.314
IDN,563324.54
IDX,393950.1567
IND,2407671.526
IRL,37711.428
IRN,661710.15
IRQ,190060.61
ISL,2064.521
ISR,65166.257
JAM,8225.081
JOR,25107.949
JPN,1135886.253
KAZ,247207.138
KEN,17909.628
KGZ,9787.223
KHM,9919.235
KIR,66.006
KNA,238.355
KOR,620302.386
KWT,98733.975
LAC,1657513.336
LAO,17762.948
LBN,24796.254
LBR,1386.126
LBY,50564.263
LCA,414.371
LCN,1836828.167
LDC,329491.0024
LIC,168202.9737
LIE,51.338
LKA,23362.457
LMC,4229048.424
LMY,21122439.33
LSO,2511.895
LTE,14680565.35
LTU,12962.845
LUX,8987.817
LVA,7003.97
MAC,2068.188
MAR,61275.57
MDA,5115.465
MDG,3905.355
MDV,1444.798
MEA,2608736.803
MEX,486405.548
MHL,143.013
MIC,20947563.41
MKD,7051.641
MLI,3179.289
MLT,1342.122
MMR,25280.298
MNA,1475311.107
MNE,2016.85
MNG,25368.306
MOZ,7942.722
MRT,2739.249
MUS,4349.062
MWI,1298.118
MYS,248288.903
NAC,5551808.664
NAM,4228.051
NCL,5328.151
NER,2016.85
NGA,120369.275
NIC,5592.175
NLD,170779.524
NOR,41022.729
NPL,9105.161
NRU,47.671
NZL,34381.792
OED,12004051.89
OMN,63457.435
OSS,208033.0127
PAK,201149.618
PAN,10714.974
PER,57414.219
PHL,122287.116
PLW,223.687
PNG,7535.685
POL,299036.516
PRE,505151.0624
PRK,28283.571
PRT,48741.764
PRY,7407.34
PSE,3234.294
PSS,3369.973
PST,10949758.47
PYF,770.07
QAT,103259.053
ROU,69258.629
RUS,1732026.776
RWA,1114.768
SAS,2736913.121
SAU,563449.218
SDN,19999.818
SEN,10901.991
SGP,37535.412
SLB,168.682
SLE,1092.766
SLV,7168.985
SOM,645.392
SRB,45221.444
SSA,848185.5781
SSD,1727.157
SSF,853107.128
SST,273210.8676
STP,121.011
SUR,1738.158
SVK,32423.614
SVN,12632.815
SWE,43252.265
SWZ,1155.105
SYC,605.055
SYR,28829.954
TCA,216.353
TCD,1015.759
TEA,11393101.31
TEC,3365154.562
TGO,2999.606
THA,283763.461
TJK,5309.816
TKM,70630.087
TLA,1777196.882
TLS,495.045
TMN,1472076.813
TON,128.345
TSA,2736913.121
TSS,853107.128
TTO,43868.321
TUN,29937.388
TUR,372724.881
TUV,11.001
TZA,11972.755
UGA,5680.183
UKR,202249.718
UMC,16718513.78
URY,6765.615
USA,5006302.077
UZB,91810.679
VCT,220.02
VEN,164175.257
VGB,212.686
VNM,192667.847
VUT,146.68
WSM,245.689
XKX,8943.813
YEM,10608.631
ZAF,476643.994
ZMB,5141.134
ZWE,10982.665
