CountryID,EPI
AFG,37.74
ALB,65.46
DZA,57.18
AGO,37.44
ATG,59.18
ARG,59.3
ARM,62.07
AUS,74.12
AUT,78.97
AZE,62.33
BHS,54.99
BHR,55.15
BGD,29.56
BRB,55.76
BLR,64.98
BEL,77.38
BLZ,57.79
BEN,38.17
BTN,47.22
BOL,55.98
BIH,41.84
BWA,51.7
BRA,60.7
BRN,63.57
BGR,67.85
BFA,42.83
BDI,27.43
KHM,43.23
CMR,40.81
CAN,72.18
CPV,56.94
CAF,36.42
TCD,45.34
CHL,57.49
CHN,50.74
COL,65.22
COM,44.24
CRI,67.85
CIV,45.25
HRV,65.45
CUB,63.42
CYP,72.6
CZE,67.68
COD,30.41
DNK,81.6
DJI,40.04
DMA,59.38
DOM,64.71
ECU,57.42
EGY,61.21
SLV,53.91
GNQ,60.4
ERI,39.34
EST,64.31
ETH,44.78
FJI,53.09
FIN,78.64
FRA,83.95
GAB,45.05
GMB,42.42
GEO,55.69
DEU,78.37
GHA,49.66
GRC,73.6
GRD,50.93
GTM,52.33
GIN,46.62
GNB,44.67
GUY,47.93
HTI,33.74
HND,51.51
HUN,65.01
ISL,78.57
IND,30.57
IDN,46.92
IRN,58.16
IRQ,43.2
IRL,78.77
ISR,75.01
ITA,76.96
JAM,58.58
JPN,74.69
JOR,62.2
KAZ,54.56
KEN,47.25
KIR,55.26
KWT,62.28
KGZ,54.86
LAO,42.94
LVA,66.12
LBN,61.08
LSO,33.78
LBR,41.62
LBY,49.79
LTU,69.33
LUX,79.12
MKD,61.06
MDG,33.73
MWI,49.21
MYS,59.22
MDV,52.14
MLI,43.71
MLT,80.9
MRT,39.24
MUS,56.63
MEX,59.69
FSM,49.8
MDA,51.97
MNG,57.51
MNE,61.33
MAR,63.47
MOZ,46.37
MMR,45.32
NAM,58.46
NPL,31.44
NLD,75.46
NZL,75.96
NIC,55.04
NER,35.74
NGA,54.76
NOR,77.49
OMN,51.32
PAK,37.5
PAN,62.71
PNG,39.35
PRY,53.93
PER,61.92
PHL,57.65
POL,64.11
PRT,71.91
QAT,67.8
COG,42.39
ROU,64.78
RUS,63.79
RWA,43.68
LCA,56.18
VCT,66.48
WSM,54.5
STP,54.01
SAU,57.47
SEN,49.52
SRB,57.49
SYC,66.02
SLE,42.54
SGP,64.23
SVK,70.6
SVN,67.57
SLB,43.22
ZAF,44.73
KOR,62.3
ESP,78.39
LKA,60.61
SDN,51.49
SUR,54.2
SWZ,40.32
SWE,80.51
CHE,87.42
TWN,72.84
TJK,47.85
TZA,50.83
THA,49.88
TLS,49.54
TGO,41.78
TON,62.49
TTO,67.36
TUN,62.35
TUR,52.96
TKM,66.1
UGA,44.28
UKR,52.87
ARE,58.9
GBR,79.89
USA,71.19
URY,64.65
UZB,45.88
VUT,44.55
VEN,63.89
VNM,46.96
ZMB,50.97
ZWE,43.41
