CountryID,GDPpercapita
AFG,524.1628809
AGO,3289.646664
ALB,5284.380184
AND,41793.05526
ARB,6603.35119
ARE,43839.35635
ARG,11683.94962
ARM,4220.490277
ASM,11466.69071
ATG,16726.98081
AUS,57395.91947
AUT,51525.04643
AZE,4739.84171
BDI,271.7520444
BEL,47491.32326
BEN,1240.829464
BFA,820.1607938
BGD,1698.350394
BGR,9423.558612
BHR,23991.05668
BHS,32217.87159
BIH,6072.180992
BLR,6330.075246
BLZ,4884.734162
BOL,3548.590153
BRA,9001.234249
BRB,17745.19346
BRN,31628.32879
BTN,3243.231126
BWA,8279.601365
CAF,475.9536099
CAN,46313.17137
CEB,15966.66834
CHE,82818.10816
CHL,15924.79424
CHN,9976.676822
CIV,2302.612951
CMR,1534.491274
COD,557.0644183
COG,2223.854479
COL,6718.585324
COM,1415.955313
CPV,3617.327488
CRI,12112.13442
CSS,9982.268089
CUB,8821.818891
CUW,19573.89265
CYM,85477.28701
CYP,28689.70672
CZE,23046.94913
DEU,47639.00344
DJI,3141.889219
DMA,7691.345097
DNK,61390.69301
DOM,8050.63044
DZA,4114.715061
EAP,7971.137515
EAR,3582.002227
EAS,11316.76045
ECA,8013.860708
ECS,25171.42597
ECU,6295.935399
EGY,2549.132252
EMU,39965.84033
ESP,30337.67913
EST,23258.46758
ETH,771.5238139
EUU,35659.75715
FCS,2206.398265
FIN,50021.29106
FJI,6266.967959
FRA,41631.09074
FSM,3568.291016
GAB,7956.627816
GBR,43043.22782
GEO,4722.787783
GHA,2202.312164
GIN,983.3094922
GMB,712.5123711
GNB,777.9699218
GNQ,10144.19581
GRC,20324.30501
GRD,10485.90716
GRL,54470.95639
GTM,4472.892363
GUM,35712.56214
GUY,4979.002188
HIC,44392.67566
HKG,48542.88733
HND,2505.776752
HPC,955.5189073
HRV,14920.19138
HTI,868.3420248
HUN,16150.77276
IBD,6451.685682
IBT,5153.202106
IDA,1359.696233
IDB,1753.091302
IDN,3893.846425
IDX,1162.750266
IND,2005.863005
IRL,78621.22796
IRQ,5834.166211
ISL,72968.70423
ISR,41719.72544
ITA,34520.08516
JAM,5354.236859
JOR,4241.788782
JPN,39159.42356
KAZ,9812.601405
KEN,1707.986805
KGZ,1308.140165
KHM,1512.12671
KIR,1698.256286
KNA,19275.27726
KOR,33340.26515
KWT,33994.38192
LAC,8583.068002
LAO,2542.486528
LBN,8024.803271
LBR,677.3221785
LBY,7877.122251
LCA,11357.88901
LCN,9081.194527
LDC,1056.786187
LIC,781.5327819
LKA,4080.567125
LMC,2090.130109
LMY,5001.970026
LSO,1221.883763
LTE,9840.781998
LTU,19080.61737
LUX,116654.2611
LVA,17805.28031
MAC,87208.53591
MAR,3222.200634
MCO,185829.018
MDA,4233.999556
MDG,527.5013261
MDV,10330.61561
MEA,8049.979551
MEX,9673.443674
MHL,3788.163594
MIC,5480.309215
MKD,6062.942604
MLI,900.1101645
MLT,30133.46617
MMR,1418.177623
MNE,8850.092733
MNG,4134.987198
MNP,23258.67586
MOZ,498.9572202
MRT,1600.876469
MUS,11208.22737
MWI,381.2589876
MYS,11373.233
NAC,61304.54202
NAM,5495.428836
NER,571.5269922
NGA,2032.729709
NIC,2020.547028
NLD,53048.09621
NOR,81734.46557
NPL,1038.651647
NRU,9762.389302
NZL,42949.93058
OED,39299.24225
OMN,16414.88802
OSS,14632.39859
PAK,1482.305667
PAN,15592.57368
PER,6941.235848
PHL,3252.092324
PLW,15859.43486
PNG,2720.385245
POL,15460.64428
PRE,1449.034511
PRI,31621.89347
PRT,23461.57186
PRY,5805.675616
PSE,3198.866644
PSS,4223.958416
PST,45289.65919
QAT,68793.78444
ROU,12408.59649
RUS,11370.81346
RWA,782.6181409
SAS,1899.609233
SAU,23338.96346
SDN,623.8672524
SEN,1465.591006
SGP,66188.7794
SLB,2137.6907
SLE,533.9911843
SLV,4067.659449
SMR,48481.0133
SRB,7246.191986
SSA,1576.776615
SSF,1589.425156
SST,13158.7022
STP,2001.136978
SUR,6003.723066
SVK,19428.11621
SVN,26054.5421
SWE,54589.06039
SWZ,4145.97411
SYC,16390.82488
TCA,27142.2278
TCD,726.1498811
TEA,8054.889785
TEC,8877.965595
TGO,678.9556381
THA,7295.475616
TJK,826.6215305
TKM,6966.635411
TLA,8924.133351
TLS,1237.102682
TON,4364.015561
TSA,1899.609233
TSS,1589.425156
TTO,17129.91309
TUN,3438.789089
TUR,9370.176355
TUV,3700.744263
TZA,1060.994615
UGA,767.0977596
UKR,3096.817402
UMC,8911.911519
URY,17277.97011
USA,62996.66482
UZB,1529.082864
VCT,7361.400962
VNM,2566.59695
VUT,3095.702156
WLD,11381.6806
WSM,4183.408032
XKX,4419.914327
YEM,968.1590476
ZAF,6374.028196
ZMB,1556.334482
ZWE,1683.740577
