CountryID,TradeExports
ABW,2542404706
AFG,1609466448
AGO,41388891319
ALB,4784712029
ARB,1.21552E+12
ARG,76807312733
ARM,4700348851
ATG,1151692731
AUS,3.27303E+11
AUT,2.53807E+11
AZE,25484473000
BDI,285105476.8
BEL,4.4842E+11
BEN,3847664033
BFA,4511341340
BGD,44168814589
BGR,43450810000
BHR,30097340426
BHS,4379469464
BIH,8494425524
BLR,42267800000
BLZ,1077282129
BMU,1577906243
BOL,10353387832
BRA,2.74977E+11
BRN,7040938538
BTN,778576098.9
BWA,7341141821
CAN,5.50451E+11
CEB,1.06217E+12
CHE,4.6239E+11
CHL,85724982172
CHN,2.65101E+12
CIV,13042548273
CMR,7301078164
COD,16081644519
COL,54093791268
COM,152076581
CPV,968639877.9
CRI,20564084819
CSS,33450120232
CUW,1920960894
CYP,18226265385
CZE,1.91524E+11
DEU,1.8769E+12
DJI,4562266487
DMA,161953936.4
DNK,1.97857E+11
DOM,20191700000
EAP,3.85514E+12
EAR,2.98676E+12
EAS,7.6971E+12
ECA,1.08304E+12
ECS,1.04143E+13
ECU,25374315400
EGY,51619507000
EMU,6.58234E+12
ESP,4.98368E+11
EST,22811753333
ETH,7624331353
EUU,7.85946E+12
FCS,3.81905E+11
FIN,1.06441E+11
FJI,2669316279
FRA,9.05289E+11
GBR,8.75761E+11
GEO,8896617467
GHA,22514756474
GIN,4082070000
GMB,348045964.8
GNB,380241947.3
GRC,81867719581
GRD,649764010.9
GTM,13350714120
GUY,1597206759
HIC,1.75839E+13
HKG,6.81281E+11
HND,7273151895
HPC,1.7926E+11
HRV,30710603526
HTI,1778380970
HUN,1.34653E+11
IBD,7.78194E+12
IBT,8.25091E+12
IDA,4.65871E+11
IDB,1.62545E+11
IDN,2.11932E+11
IDX,3.13035E+11
IND,5.37042E+11
IRL,4.6746E+11
IRQ,91930700000
ISL,12242521492
ISR,1.08772E+11
ITA,6.56161E+11
JAM,5805990950
JOR,15053380282
JPN,9.29828E+11
KAZ,67146190250
KGZ,2734422358
KHM,18413935868
KIR,19150922.83
KNA,605224114.6
KOR,7.29944E+11
KWT,85198897799
LAC,1.12287E+12
LAO,6216138952
LBN,19140173185
LBR,527345230.8
LBY,29964100000
LCA,1216913893
LCN,1.39371E+12
LDC,2.57894E+11
LKA,20263792551
LMC,1.53543E+12
LMY,7.65518E+12
LSO,1253535693
LTE,6.55782E+12
LTU,43997607441
LUX,1.36111E+11
LVA,21082435671
MAC,45582311858
MAR,43253418109
MDA,3451540000
MDG,4346347608
MDV,3693141016
MEX,4.79821E+11
MHL,128903650.7
MIC,7.53088E+12
MKD,7601728258
MLI,4184187159
MLT,21155083491
MMR,15764685691
MNA,4.86484E+11
MNE,2346271644
MNG,7713996347
MOZ,5974758838
MRT,2061792406
MUS,5551246305
MWI,1118420967
MYS,2.46469E+11
NAC,3.05333E+12
NAM,4948183825
NER,1449983104
NGA,67908009938
NIC,5511500000
NLD,7.71027E+11
NOR,1.6633E+11
NPL,2677907672
NRU,31101106.24
NZL,57435151037
OED,1.52241E+13
OMN,46185723069
PAK,30774890000
PAN,28539444500
PER,56119046119
PHL,90382198169
PNG,10597058446
POL,3.25302E+11
PRE,3.58199E+11
PRT,1.05678E+11
PRY,14357956623
PSE,2903484703
PSS,4778643017
PST,1.49147E+13
QAT,1.02561E+11
ROU,1.01106E+11
RUS,5.07861E+11
RWA,2042609526
SAS,6.41009E+11
SAU,3.14039E+11
SDN,4995707338
SEN,5287037761
SGP,6.63123E+11
SLB,680656697.4
SLE,755446195.9
SLV,7517177510
SRB,24966953883
SSA,4.31793E+11
SSD,3094570000
SSF,4.39249E+11
STP,98232686.43
SUR,2275259432
SVK,1.01394E+11
SVN,46138077775
SWE,2.52521E+11
SWZ,1899341356
SXM,809709497.2
SYC,1678376354
TCA,826823788.6
TEA,3.85047E+12
TEC,1.54179E+12
TGO,1702908076
THA,3.28582E+11
TJK,1116258706
TLA,1.25957E+12
TLS,121872114.4
TMN,4.8275E+11
TON,104850808.1
TSA,6.41009E+11
TSS,4.39249E+11
TTO,11332990233
TUN,19418054051
TUR,2.37932E+11
TZA,8394257042
UGA,5632397702
UKR,59135000000
UMC,5.99121E+12
URY,16397156503
USA,2.50131E+12
UZB,14135137288
VCT,315981994.9
VNM,2.58488E+11
VUT,517155759.1
WLD,2.52356E+13
WSM,305718955.1
XKX,2278377703
ZAF,1.10068E+11
ZMB,9982606351
