CountryID,TradeImports
ABW,2244120172
AFG,7983846560
AGO,25887355607
ALB,6854286782
ARB,1.1013E+12
ARG,86736858479
ARM,6647280643
ATG,1115054158
AUS,3.10207E+11
AUT,2.37149E+11
AZE,17705199000
BDI,905294483.7
BEL,4.49197E+11
BEN,4668665793
BFA,5166928039
BGD,65525096934
BGR,41496250000
BHR,27186968085
BHS,5133821774
BIH,11519246672
BLR,41338700000
BLZ,1127640675
BMU,2121269460
BOL,12443964233
BRA,2.57663E+11
BRN,5681696875
BTN,1260911285
BWA,7312140052
CAN,5.84175E+11
CEB,1.01825E+12
CHE,3.81196E+11
CHL,85052317931
CHN,2.54801E+12
CIV,12934097473
CMR,8422507282
COD,17774432914
COL,63019660117
COM,350550975.6
CPV,1336724259
CRI,19764377540
CSS,35287839415
CUW,2826346369
CYP,17997006771
CZE,1.76504E+11
DEU,1.6318E+12
DJI,4188971416
DMA,431429032.3
DNK,1.76471E+11
DOM,23607400000
EAP,3.72222E+12
EAR,3.19501E+12
EAS,7.27569E+12
ECA,9.3547E+11
ECS,9.55584E+12
ECU,26289043572
EGY,76328100000
EMU,6.00649E+12
ESP,4.59932E+11
EST,21730129286
ETH,19928882546
EUU,7.21699E+12
FCS,3.77908E+11
FIN,1.09163E+11
FJI,3095020409
FRA,9.36025E+11
GBR,9.15325E+11
GEO,10768594069
GHA,23219911782
GIN,4186690000
GMB,621146661.9
GNB,458908165.3
GRC,85802967856
GRD,644699106.1
GTM,21179092900
GUY,3037639390
HIC,1.69297E+13
HKG,6.82046E+11
HND,11854948280
HPC,2.45272E+11
HRV,31323161829
HTI,5670990521
HUN,1.27517E+11
IBD,7.58429E+12
IBT,8.22201E+12
IDA,6.41661E+11
IDB,2.24877E+11
IDN,2.18645E+11
IDX,4.22554E+11
IND,6.4296E+11
IRL,3.40339E+11
IRQ,56876000000
ISL,11458486221
ISR,1.07283E+11
ITA,6.05894E+11
JAM,7949649021
JOR,22761971831
JPN,9.28423E+11
KAZ,46226435921
KGZ,5861234605
KHM,21850813683
KIR,170520543.1
KNA,593894153.3
KOR,6.49227E+11
KWT,68204783055
LAC,1.18038E+12
LAO,7318191451
LBN,32848925411
LBR,1245487121
LBY,18848800000
LCA,997739239
LCN,1.41887E+12
LDC,3.41075E+11
LIC,1.73752E+11
LKA,26840586809
LMC,1.86593E+12
LMY,7.66339E+12
LSO,2417157607
LTE,5.92872E+12
LTU,42387974727
LUX,1.10278E+11
LVA,21137912925
MAC,18321332324
MAR,55384900492
MDA,6383920944
MDG,4839952342
MDV,4097587328
MEX,5.02541E+11
MHL,174722133.6
MIC,7.4878E+12
MKD,9222577229
MLI,6078079369
MLT,18024949292
MMR,18866481210
MNA,4.94039E+11
MNE,3665558233
MNG,8477747003
MOZ,10517895751
MRT,3283935557
MUS,7565047766
MWI,2943517804
MYS,2.21336E+11
NAC,3.71529E+12
NAM,6337902881
NER,3368529751
NGA,71637362154
NIC,6730200000
NLD,6.73535E+11
NOR,1.41107E+11
NPL,14648192810
NRU,94795882.93
NZL,57365646374
OED,1.51125E+13
OMN,35296334347
OSS,2.38447E+11
PAK,68422877000
PAN,28902003120
PER,51454480011
PHL,1.29747E+11
PNG,4843832431
POL,3.05357E+11
PRE,3.52354E+11
PRT,1.03934E+11
PRY,13878450472
PSE,8730999889
PSS,6011823521
PST,1.47992E+13
QAT,65810989011
ROU,1.0863E+11
RUS,3.43429E+11
RWA,3143474716
SAS,8.31739E+11
SAU,2.0948E+11
SDN,8237313614
SEN,8960095118
SGP,5.5703E+11
SLB,748211700.9
SLE,1613770806
SLV,12638948593
SRB,29780212200
SSA,4.71268E+11
SSD,3571720000
SSF,4.80692E+11
SST,2.78637E+11
STP,197132094.4
SUR,2108490203
SVK,1.00529E+11
SVN,41638656990
SWE,2.43201E+11
SWZ,2066910589
SXM,1233357542
SYC,1857837705
TCA,544218513.4
TEA,3.71549E+12
TEC,1.38062E+12
TGO,2328922256
THA,2.8366E+11
TJK,3221409696
TLA,1.3012E+12
TLS,1059724336
TMN,4.84195E+11
TON,322271137.6
TSA,8.31739E+11
TSS,4.80692E+11
TTO,9181575453
TUN,24650618341
TUR,2.47606E+11
TZA,9883233916
UGA,8645671688
UKR,70502000000
UMC,5.6172E+12
URY,13138084841
USA,3.12899E+12
UZB,23443547241
VCT,450952987.6
VNM,2.45627E+11
VUT,460482621.2
WLD,2.45851E+13
WSM,428520933.9
XKX,4498235992
ZAF,1.0891E+11
ZMB,10193025255
