CountryName,CountryID,Region,GCFFinancingSummed,CoFinancingSummed,TotalFinanceSummed,Population,TotalGCFbyPopulation,SIDS,LDC,Africa
Albania,ALB,Eastern Europe,10833594.62,21368331.47,32201926.09,2866376,11.23436914,SIDSno,LDCno,Africano
Antigua and Barbuda,ATG,Latin America and the Caribbean,6666600,856444.77,7523044.77,96286,78.1322806,SIDSyes,LDCno,Africano
Armenia,ARM,Eastern Europe,41063852.18,101909115.3,142972967.5,2951776,48.43625246,SIDSno,LDCno,Africano
Bahrain,BHR,Asia-Pacific,2320388,0,2320388,1569439,1.478482439,SIDSyes,LDCno,Africano
Bangladesh,BGD,Asia-Pacific,94661340,72645900,167307240,161356039,1.036882419,SIDSno,LDCyes,Africano
Barbados,BRB,Latin America and the Caribbean,27605010,17600000,45205010,286641,157.7060155,SIDSyes,LDCno,Africano
Belize,BLZ,Latin America and the Caribbean,8.00E+06,12002898,20002898,383071,52.21720778,SIDSyes,LDCno,Africano
Benin,BEN,Africa,18945925.79,20542903.63,39488829.41,11485048,3.438281617,SIDSno,LDCyes,Africayes
Bhutan,BTN,Asia-Pacific,51904548,124368000,176272548,754394,233.6611214,SIDSno,LDCyes,Africano
Burkina Faso,BFA,Africa,32962807.51,23116737.67,56079545.17,19751535,2.839249971,SIDSno,LDCyes,Africayes
Cambodia,KHM,Asia-Pacific,4.00E+07,101040000,141040000,16249798,8.679492508,SIDSno,LDCyes,Africano
Cameroon,CMR,Africa,15882055.35,29170212.69,45052268.05,25216237,1.786637239,SIDSno,LDCno,Africayes
Chad,TCD,Africa,7273505.68,15253176.96,22526682.64,15477751,1.455423507,SIDSno,LDCyes,Africayes
Chile,CHL,Latin America and the Caribbean,6.00E+07,1.03E+09,1.09E+09,18729160,58.4115892,SIDSno,LDCno,Africano
China,CHN,Asia-Pacific,1.00E+08,1311968645,1411968645,1392730000,1.013813621,SIDSno,LDCno,Africano
Colombia,COL,Latin America and the Caribbean,38496000,78717258,117213258,49648685,2.360853223,SIDSno,LDCno,Africano
Comoros (the),COM,Africa,41919808,18831687,60751495,832322,72.99037512,SIDSno,LDCyes,Africayes
Costa Rica,CRI,Latin America and the Caribbean,2216500,1787500,4004000,4999441,0.800889539,SIDSno,LDCno,Africano
Cote d'Ivoire,CIV,Africa,25250680.16,45955315.83,71205996,25069229,2.840374389,SIDSno,LDCno,Africayes
Cuba,CUB,Latin America and the Caribbean,38206791,81707393,119914184,11338138,10.57617962,SIDSyes,LDCno,Africano
Dominica,DMA,Latin America and the Caribbean,6666600,856444.77,7523044.77,71625,105.0337839,SIDSyes,LDCno,Africano
Dominican Republic (the),DOM,Latin America and the Caribbean,2216500,1787500,4004000,10627165,0.376770286,SIDSyes,LDCno,Africano
Ecuador,ECU,Latin America and the Caribbean,36389697.65,62620604.7,99010302.35,17084357,5.795377745,SIDSno,LDCno,Africano
Egypt,EGY,Africa,143025313.6,337226372.9,480251686.5,98423595,4.879436546,SIDSno,LDCno,Africayes
El Salvador,SLV,Latin America and the Caribbean,38066112,93625626,131691738,6420744,20.51035487,SIDSno,LDCno,Africano
Eswatini,SWZ,Africa,5561000,11494000,17055000,1136191,15.01068042,SIDSno,LDCno,Africayes
Ethiopia,ETH,Africa,45002759,4958095,49960854,109224559,0.457414106,SIDSno,LDCyes,Africayes
Fiji,FJI,Asia-Pacific,31040000,374100000,405140000,883483,458.571359,SIDSyes,LDCno,Africano
Gambia,GMB,Africa,20546756,4974611,25521367,2280102,11.19308127,SIDSno,LDCyes,Africayes
Georgia,GEO,Eastern Europe,68117450.18,145150115.3,213267565.5,3726549,57.22923958,SIDSno,LDCno,Africano
Ghana,GHA,Africa,26500000,13100000,39600000,29767108,1.33032742,SIDSno,LDCno,Africayes
Grenada,GRD,Latin America and the Caribbean,46185383.43,8434238.66,54619622.08,111454,490.0642604,SIDSyes,LDCno,Africano
Guatemala,GTM,Latin America and the Caribbean,34252012,86406528,120658540,16346950,7.38110412,SIDSno,LDCno,Africano
Guinea,GIN,Africa,5949201.72,12475995.84,18425197.56,12414318,1.484189269,SIDSno,LDCyes,Africayes
Haiti,HTI,Latin America and the Caribbean,9900000,35848000,45748000,11123176,4.112854099,SIDSyes,LDCyes,Africano
Honduras,HND,Latin America and the Caribbean,37216500,45787500,83004000,9587522,8.65750295,SIDSno,LDCno,Africano
India,IND,Asia-Pacific,77775606,218790000,296565606,1352617328,0.219253147,SIDSno,LDCno,Africano
Jordan,JOR,Asia-Pacific,41063852.18,101909115.3,142972967.5,9956011,14.36046701,SIDSno,LDCno,Africano
Kenya,KEN,Africa,63787020.41,98621023.18,162408043.6,51393010,3.160119316,SIDSno,LDCno,Africayes
Kiribati,KIR,Asia-Pacific,28631020,29450000,58081020,115847,501.3597245,SIDSyes,LDCyes,Africano
Kyrgyzstan,KGZ,Asia-Pacific,38564628,21063597,59628225,6322800,9.430667584,SIDSno,LDCno,Africano
Lao People's Democratic Republic (the),LAO,Asia-Pacific,1.00E+07,1500000,11500000,7061507,1.628547561,SIDSno,LDCyes,Africano
Lesotho,LSO,Africa,5561000,11494000,17055000,2108132,8.09010062,SIDSno,LDCyes,Africayes
Madagascar,MDG,Africa,31010638.3,14874916.01,45885554.31,26262368,1.747197903,SIDSno,LDCyes,Africayes
Malawi,MWI,Africa,12295000,3970000,16265000,18143315,0.896473439,SIDSno,LDCyes,Africayes
Maldives,MDV,Asia-Pacific,23640000,4593000,28233000,515696,54.74737054,SIDSno,LDCno,Africano
Mali,MLI,Africa,31957775.64,27559510.08,59517285.72,19077690,3.119732301,SIDSno,LDCyes,Africayes
Marshall Islands,MHL,Asia-Pacific,46059666,26989862,73049528,58413,1250.569702,SIDSyes,LDCno,Africano
Mauritius,MUS,Africa,27117581.19,46664837.63,73782418.81,1265303,58.31205554,SIDSno,LDCno,Africayes
Mexico,MEX,Latin America and the Caribbean,1.00E+07,6.90E+07,7.90E+07,126190788,0.626036189,SIDSno,LDCno,Africano
Micronesia (Federated States of),FSM,Asia-Pacific,2428620,1742892,4171512,112640,37.03401989,SIDSyes,LDCno,Africano
Moldova,MDA,Eastern Europe,33503852.18,81769115.34,115272967.5,2706049,42.59825581,SIDSno,LDCno,Africano
Mongolia,MNG,Asia-Pacific,167163852.2,476673115.3,643836967.5,3170208,203.0898186,SIDSno,LDCno,Africano
Morocco,MAR,Africa,187495063.6,494427314.9,681922378.5,36029138,18.92696901,SIDSno,LDCno,Africayes
Mozambique,MOZ,Africa,17648656.22,7748880.18,25397536.39,29495962,0.861051299,SIDSno,LDCyes,Africayes
Namibia,NAM,Africa,59041035.83,40001928.33,99042964.17,2448255,40.45451318,SIDSno,LDCno,Africayes
Nauru,NRU,Asia-Pacific,29338620,40032892,69371512,12704,5460.603904,SIDSyes,LDCno,Africano
Nepal,NPL,Asia-Pacific,39299905,8042248,47342153,28087871,1.685501653,SIDSno,LDCyes,Africano
Nicaragua,NIC,Latin America and the Caribbean,2216500,1787500,4004000,6465513,0.61928574,SIDSno,LDCno,Africano
Niger (the),NER,Africa,17324008.62,19700348.73,37024357.35,22442948,1.649710072,SIDSno,LDCyes,Africayes
Nigeria,NGA,Africa,41757434.83,72913429.03,114670863.9,195874740,0.585429565,SIDSno,LDCno,Africayes
North Macedonia,MKD,Eastern Europe,10823852.18,21349115.34,32172967.53,2082958,15.44580713,SIDSno,LDCno,Africano
Pakistan,PAK,Asia-Pacific,71950832,13199931,85150763,212215030,0.40124756,SIDSno,LDCno,Africano
Panama,PAN,Latin America and the Caribbean,2201000,1775000,3976000,4176873,0.951908282,SIDSno,LDCno,Africano
Papua New Guinea,PNG,Asia-Pacific,2428620,1742892,4171512,8606316,0.48470356,SIDSyes,LDCno,Africano
Paraguay,PRY,Latin America and the Caribbean,25060376,65197119,90257495,6956071,12.97535563,SIDSno,LDCno,Africano
Peru,PER,Latin America and the Caribbean,6240000,2870000,9110000,31989256,0.284783116,SIDSno,LDCno,Africano
Philippines (the),PHL,Asia-Pacific,9999042.27,10192307.69,20191349.96,106651922,0.189320076,SIDSno,LDCno,Africano
Rwanda,RWA,Africa,45294442,42859990,88154432,12301939,7.165897344,SIDSno,LDCyes,Africayes
Samoa,WSM,Asia-Pacific,60146620,9742892,69889512,196130,356.342793,SIDSyes,LDCno,Africano
Senegal,SEN,Africa,37884674.42,69268284.44,107152958.9,15854360,6.758579902,SIDSno,LDCyes,Africayes
Serbia,SRB,Eastern Europe,41063852.18,101909115.3,142972967.5,6982604,20.47559442,SIDSno,LDCno,Africano
Solomon Islands,SLB,Asia-Pacific,8.60E+07,155880000,241880000,652858,370.4940431,SIDSyes,LDCyes,Africano
South Africa,ZAF,Africa,48024424.42,88659343.79,136683768.2,57779622,2.365605095,SIDSno,LDCno,Africayes
Sri Lanka,LKA,Asia-Pacific,77859000,23200000,101059000,21670000,4.66354407,SIDSno,LDCno,Africano
State of Palestine,PSE,Asia-Pacific,26550707.73,23516237.4,50066945.13,4569087,10.95775702,SIDSno,LDCno,Africano
Tajikistan,TJK,Asia-Pacific,85113586,139699404,224812990,9100837,24.70245209,SIDSno,LDCno,Africano
Tanzania,TZA,Africa,144340425.5,119510302.4,263850727.9,56318348,4.684986994,SIDSno,LDCyes,Africayes
Timor-Leste,TLS,Asia-Pacific,22356805,37087062,59443867,1267972,46.88105652,SIDSyes,LDCyes,Africano
Togo,TGO,Africa,17227323.63,29645352.74,46872676.37,7889094,5.941452386,SIDSno,LDCyes,Africayes
Tonga,TON,Asia-Pacific,2428620,1742892,4171512,103197,40.42280299,SIDSyes,LDCno,Africano
Tunisia,TUN,Africa,71303852.18,182469115.3,253772967.5,11565204,21.9428008,SIDSno,LDCno,Africayes
Tuvalu,TUV,Asia-Pacific,36010000,2860000,38870000,11508,3377.65033,SIDSyes,LDCyes,Africano
Uganda,UGA,Africa,42304053.75,47693892.5,89997946.25,42723139,2.106538713,SIDSno,LDCyes,Africayes
Uzbekistan,UZB,Asia-Pacific,9500000,24890000,34390000,32956100,1.043509396,SIDSno,LDCno,Africano
Vanuatu,VUT,Asia-Pacific,22953000,3682000,26635000,292680,91.0038267,SIDSyes,LDCyes,Africano
Viet Nam,VNM,Asia-Pacific,59728367,137094100,196822467,95540395,2.060096852,SIDSno,LDCno,Africano
Zambia,ZMB,Africa,3.20E+07,105269000,137269000,17351822,7.910927164,SIDSno,LDCyes,Africayes
Zimbabwe,ZWE,Africa,35432883,22348267,57781150,14439018,4.001736822,SIDSno,LDCno,Africayes
