CountryName,CountryID,Region,GCFFinancingSummed,CoFinancingSummed,TotalFinanceSummed,Population,TotalGCFbyPopulation,SIDS,LDC,Africa
Albania,ALB,Eastern Europe,10833594.62,21368331.47,32201926.09,2866376,11.23436914,SIDSno,LDCno,Africano
Antigua and Barbuda,ATG,Latin America and the Caribbean,6666600,856444.77,7523044.77,96286,78.1322806,SIDSyes,LDCno,Africano
Argentina,ARG,Latin America and the Caribbean,1.03E+08,60850000,163850000,44494502,3.682477444,SIDSno,LDCno,Africano
Armenia,ARM,Eastern Europe,61063852.18,197979115.3,259042967.5,2951776,87.75834194,SIDSno,LDCno,Africano
Bahrain,BHR,Asia-Pacific,2320388,0,2320388,1569439,1.478482439,SIDSyes,LDCno,Africano
Bangladesh,BGD,Asia-Pacific,94661340,72645900,167307240,161356039,1.036882419,SIDSno,LDCyes,Africano
Barbados,BRB,Latin America and the Caribbean,27605010,17600000,45205010,286641,157.7060155,SIDSyes,LDCno,Africano
Belize,BLZ,Latin America and the Caribbean,8.00E+06,12002898,20002898,383071,52.21720778,SIDSyes,LDCno,Africano
Benin,BEN,Africa,33530998.58,40791976.42,74322974.99,11485048,6.471281181,SIDSno,LDCyes,Africayes
Bhutan,BTN,Asia-Pacific,51904548,124368000,176272548,754394,233.6611214,SIDSno,LDCyes,Africano
Bosnia and Herzegovina,BIH,Eastern Europe,17346000,105220000,122566000,3323929,36.87383214,SIDSno,LDCno,Africano
Brazil,BRA,Latin America and the Caribbean,96452228,0,96452228,209469333,0.460459899,SIDSno,LDCno,Africano
Burkina Faso,BFA,Africa,71559526.44,66752650.33,138312176.8,19751535,7.002603937,SIDSno,LDCyes,Africayes
Burundi,BDI,Africa,9090909,65590908.44,74681817.44,11175378,6.682710638,SIDSno,LDCyes,Africayes
Cambodia,KHM,Asia-Pacific,4.00E+07,101040000,141040000,16249798,8.679492508,SIDSno,LDCyes,Africano
Cameroon,CMR,Africa,24972964.35,94761121.13,119734085.5,25216237,4.748293153,SIDSno,LDCno,Africayes
Chad,TCD,Africa,7273505.68,15253176.96,22526682.64,15477751,1.455423507,SIDSno,LDCyes,Africayes
Chile,CHL,Latin America and the Caribbean,162607552,1.18E+09,1338607552,18729160,71.47184134,SIDSno,LDCno,Africano
China,CHN,Asia-Pacific,1.00E+08,1311968645,1411968645,1392730000,1.013813621,SIDSno,LDCno,Africano
Colombia,COL,Latin America and the Caribbean,38496000,78717258,117213258,49648685,2.360853223,SIDSno,LDCno,Africano
Comoros (the),COM,Africa,41919808,18831687,60751495,832322,72.99037512,SIDSno,LDCyes,Africayes
Costa Rica,CRI,Latin America and the Caribbean,2216500,1787500,4004000,4999441,0.800889539,SIDSno,LDCno,Africano
Cote d'Ivoire,CIV,Africa,25250680.16,45955315.83,71205996,25069229,2.840374389,SIDSno,LDCno,Africayes
Cuba,CUB,Latin America and the Caribbean,38206791,81707393,119914184,11338138,10.57617962,SIDSyes,LDCno,Africano
Democratic Republic of the Congo (the),COD,Africa,2.10E+07,6.80E+07,8.90E+07,84068091,1.058665648,SIDSno,LDCyes,Africayes
Djibouti,DJI,Africa,9090909,65590908.44,74681817.44,958920,77.88117616,SIDSno,LDCyes,Africayes
Dominica,DMA,Latin America and the Caribbean,22666600,23345017.77,46011617.77,71625,642.3960596,SIDSyes,LDCno,Africano
Dominican Republic (the),DOM,Latin America and the Caribbean,2216500,1787500,4004000,10627165,0.376770286,SIDSyes,LDCno,Africano
Ecuador,ECU,Latin America and the Caribbean,99706702.65,130464012.7,230170715.4,17084357,13.47260042,SIDSno,LDCno,Africano
Egypt,EGY,Africa,297725313.6,1189526373,1487251686,98423595,15.11072306,SIDSno,LDCno,Africayes
El Salvador,SLV,Latin America and the Caribbean,59766112,113625626,173391738,6420744,27.00492934,SIDSno,LDCno,Africano
Eswatini,SWZ,Africa,5561000,11494000,17055000,1136191,15.01068042,SIDSno,LDCno,Africayes
Ethiopia,ETH,Africa,62175259,67637595,129812854,109224559,1.188495108,SIDSno,LDCyes,Africayes
Fiji,FJI,Asia-Pacific,31040000,374100000,405140000,883483,458.571359,SIDSyes,LDCno,Africano
Gambia,GMB,Africa,20546756,4974611,25521367,2280102,11.19308127,SIDSno,LDCyes,Africayes
Georgia,GEO,Eastern Europe,68117450.18,145150115.3,213267565.5,3726549,57.22923958,SIDSno,LDCno,Africano
Ghana,GHA,Africa,30072500,38107500,68180000,29767108,2.290447564,SIDSno,LDCno,Africayes
Grenada,GRD,Latin America and the Caribbean,62185383.43,30922811.66,93108195.08,111454,835.3957245,SIDSyes,LDCno,Africano
Guatemala,GTM,Latin America and the Caribbean,34252012,86406528,120658540,16346950,7.38110412,SIDSno,LDCno,Africano
Guinea,GIN,Africa,5949201.72,12475995.84,18425197.56,12414318,1.484189269,SIDSno,LDCyes,Africayes
Guinea-Bissau,GNB,Africa,11385072.79,11385072.79,22770145.58,1874309,12.14855479,SIDSno,LDCyes,Africayes
Haiti,HTI,Latin America and the Caribbean,9900000,35848000,45748000,11123176,4.112854099,SIDSyes,LDCyes,Africano
Honduras,HND,Latin America and the Caribbean,37216500,45787500,83004000,9587522,8.65750295,SIDSno,LDCno,Africano
India,IND,Asia-Pacific,177775606,368790000,546565606,1352617328,0.404079997,SIDSno,LDCno,Africano
Indonesia,IDN,Asia-Pacific,109090910,375590915.7,484681825.7,267663435,1.810788334,SIDSno,LDCno,Africano
Jordan,JOR,Asia-Pacific,41063852.18,101909115.3,142972967.5,9956011,14.36046701,SIDSno,LDCno,Africano
Kazakhstan,KAZ,Asia-Pacific,1.10E+08,4.47E+08,5.57E+08,18276498.5,30.4762972,SIDSno,LDCno,Africano
Kenya,KEN,Africa,95721490.44,205910611.4,301632101.8,51393010,5.869126984,SIDSno,LDCno,Africayes
Kiribati,KIR,Asia-Pacific,28631020,29450000,58081020,115847,501.3597245,SIDSyes,LDCyes,Africano
Kyrgyzstan,KGZ,Asia-Pacific,38564628,21063597,59628225,6322800,9.430667584,SIDSno,LDCno,Africano
Lao People's Democratic Republic (the),LAO,Asia-Pacific,26977151.18,57077267.64,84054418.81,7061507,11.90318424,SIDSno,LDCyes,Africano
Lesotho,LSO,Africa,5561000,11494000,17055000,2108132,8.09010062,SIDSno,LDCyes,Africayes
Madagascar,MDG,Africa,40101547.3,80465824.45,120567371.8,26262368,4.590879686,SIDSno,LDCyes,Africayes
Malawi,MWI,Africa,21385909,69560908.44,90946817.44,18143315,5.012690208,SIDSno,LDCyes,Africayes
Maldives,MDV,Asia-Pacific,23640000,4593000,28233000,515696,54.74737054,SIDSno,LDCno,Africano
Mali,MLI,Africa,72423041.04,48220725.09,120643766.1,19077690,6.323814158,SIDSno,LDCyes,Africayes
Marshall Islands,MHL,Asia-Pacific,46059666,26989862,73049528,58413,1250.569702,SIDSyes,LDCno,Africano
Mauritius,MUS,Africa,55327581.19,209844837.6,265172418.8,1265303,209.5722675,SIDSno,LDCno,Africayes
Mexico,MEX,Latin America and the Caribbean,1.00E+07,6.90E+07,7.90E+07,126190788,0.626036189,SIDSno,LDCno,Africano
Micronesia (Federated States of),FSM,Asia-Pacific,2428620,1742892,4171512,112640,37.03401989,SIDSyes,LDCno,Africano
Moldova,MDA,Eastern Europe,33503852.18,81769115.34,115272967.5,2706049,42.59825581,SIDSno,LDCno,Africano
Mongolia,MNG,Asia-Pacific,214904811.2,602670893.8,817575705,3170208,257.8933953,SIDSno,LDCno,Africano
Morocco,MAR,Africa,196585972.6,560018223.3,756604195.9,36029138,20.99978623,SIDSno,LDCno,Africayes
Mozambique,MOZ,Africa,17648656.22,7748880.18,25397536.39,29495962,0.861051299,SIDSno,LDCyes,Africayes
Namibia,NAM,Africa,67841035.83,64377928.33,132218964.2,2448255,54.00538921,SIDSno,LDCno,Africayes
Nauru,NRU,Asia-Pacific,29338620,40032892,69371512,12704,5460.603904,SIDSyes,LDCno,Africano
Nepal,NPL,Asia-Pacific,39299905,8042248,47342153,28087871,1.685501653,SIDSno,LDCyes,Africano
Nicaragua,NIC,Latin America and the Caribbean,2216500,1787500,4004000,6465513,0.61928574,SIDSno,LDCno,Africano
Niger (the),NER,Africa,28709081.41,31085421.52,59794502.93,22442948,2.664289154,SIDSno,LDCyes,Africayes
Nigeria,NGA,Africa,164448343.8,543176337.5,707624681.3,195874740,3.612638778,SIDSno,LDCno,Africayes
North Macedonia,MKD,Eastern Europe,10823852.18,21349115.34,32172967.53,2082958,15.44580713,SIDSno,LDCno,Africano
Pakistan,PAK,Asia-Pacific,120950832,547699931,668650763,212215030,3.150817183,SIDSno,LDCno,Africano
Panama,PAN,Latin America and the Caribbean,2201000,1775000,3976000,4176873,0.951908282,SIDSno,LDCno,Africano
Papua New Guinea,PNG,Asia-Pacific,2428620,1742892,4171512,8606316,0.48470356,SIDSyes,LDCno,Africano
Paraguay,PRY,Latin America and the Caribbean,101632876,110204619,211837495,6956071,30.45361311,SIDSno,LDCno,Africano
Peru,PER,Latin America and the Caribbean,9810000,27860000,37670000,31989256,1.177582873,SIDSno,LDCno,Africano
Philippines (the),PHL,Asia-Pacific,9999042.27,10192307.69,20191349.96,106651922,0.189320076,SIDSno,LDCno,Africano
Rwanda,RWA,Africa,45294442,42859990,88154432,12301939,7.165897344,SIDSno,LDCyes,Africayes
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,1.60E+07,22488573,38488573,52441,733.9404855,SIDSyes,LDCno,Africano
Saint Lucia,LCA,Latin America and the Caribbean,1.60E+07,22488573,38488573,181889,211.6047315,SIDSyes,LDCno,Africano
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,1.60E+07,22488573,38488573,110210,349.2294075,SIDSyes,LDCno,Africano
Samoa,WSM,Asia-Pacific,60146620,9742892,69889512,196130,356.342793,SIDSyes,LDCno,Africano
Senegal,SEN,Africa,47128235.45,73294964.17,120423199.6,15854360,7.595588823,SIDSno,LDCyes,Africayes
Serbia,SRB,Eastern Europe,41063852.18,101909115.3,142972967.5,6982604,20.47559442,SIDSno,LDCno,Africano
Sierra Leone,SLE,Africa,3570000,24990000,28560000,7650154,3.73325818,SIDSno,LDCyes,Africayes
Solomon Islands,SLB,Asia-Pacific,8.60E+07,155880000,241880000,652858,370.4940431,SIDSyes,LDCyes,Africano
South Africa,ZAF,Africa,148024424.4,525659343.8,673683768.2,57779622,11.65953921,SIDSno,LDCno,Africayes
Sri Lanka,LKA,Asia-Pacific,77859000,23200000,101059000,21670000,4.66354407,SIDSno,LDCno,Africano
State of Palestine,PSE,Asia-Pacific,26550707.73,23516237.4,50066945.13,4569087,10.95775702,SIDSno,LDCno,Africano
Tajikistan,TJK,Asia-Pacific,85113586,139699404,224812990,9100837,24.70245209,SIDSno,LDCno,Africano
Tanzania,TZA,Africa,157940425.5,157182302.4,315122727.9,56318348,5.595383016,SIDSno,LDCyes,Africayes
Timor-Leste,TLS,Asia-Pacific,22356805,37087062,59443867,1267972,46.88105652,SIDSyes,LDCyes,Africano
Togo,TGO,Africa,28611030.24,41029059.35,69640089.58,7889094,8.827387477,SIDSno,LDCyes,Africayes
Tonga,TON,Asia-Pacific,32328620,19442892,51771512,103197,501.6765216,SIDSyes,LDCno,Africano
Tunisia,TUN,Africa,71303852.18,182469115.3,253772967.5,11565204,21.9428008,SIDSno,LDCno,Africayes
Tuvalu,TUV,Asia-Pacific,36010000,2860000,38870000,11508,3377.65033,SIDSyes,LDCyes,Africano
Uganda,UGA,Africa,68564962.75,175946800.9,244511763.7,42723139,5.723169444,SIDSno,LDCyes,Africayes
Uzbekistan,UZB,Asia-Pacific,9500000,24890000,34390000,32956100,1.043509396,SIDSno,LDCno,Africano
Vanuatu,VUT,Asia-Pacific,22953000,3682000,26635000,292680,91.0038267,SIDSyes,LDCyes,Africano
Viet Nam,VNM,Asia-Pacific,146028367,547994100,694022467,95540395,7.26417833,SIDSno,LDCno,Africano
Zambia,ZMB,Africa,84500000,206769000,291269000,17351822,16.78607584,SIDSno,LDCyes,Africayes
Zimbabwe,ZWE,Africa,35432883,22348267,57781150,14439018,4.001736822,SIDSno,LDCno,Africayes
