CountryName,CountryID,Region,GCFFinancingSummed,CoFinancingSummed,TotalFinanceSummed,Population,TotalGCFbyPopulation,SIDS,LDC,Africa
Albania,ALB,Eastern Europe,10833594.62,21368331.47,32201926.09,2866376,11.23436914,SIDSno,LDCno,Africano
Argentina,ARG,Latin America and the Caribbean,1.03E+08,60850000,163850000,44494502,3.682477444,SIDSno,LDCno,Africano
Armenia,ARM,Eastern Europe,61063852.18,197979115.3,259042967.5,2951776,87.75834194,SIDSno,LDCno,Africano
Bangladesh,BGD,Asia-Pacific,2.00E+07,2.00E+07,4.00E+07,161356039,0.247898996,SIDSno,LDCyes,Africano
Barbados,BRB,Latin America and the Caribbean,27605010,17600000,45205010,286641,157.7060155,SIDSyes,LDCno,Africano
Benin,BEN,Africa,24530998.58,39791976.42,64322974.99,11485048,5.600583906,SIDSno,LDCyes,Africayes
Bhutan,BTN,Asia-Pacific,26557354,91700000,118257354,754394,156.7580787,SIDSno,LDCyes,Africano
Bosnia and Herzegovina,BIH,Eastern Europe,17346000,105220000,122566000,3323929,36.87383214,SIDSno,LDCno,Africano
Brazil,BRA,Latin America and the Caribbean,96452228,0,96452228,209469333,0.460459899,SIDSno,LDCno,Africano
Burkina Faso,BFA,Africa,49059526.44,64252650.33,113312176.8,19751535,5.736879526,SIDSno,LDCyes,Africayes
Burundi,BDI,Africa,9090909,65590908.44,74681817.44,11175378,6.682710638,SIDSno,LDCyes,Africayes
Cambodia,KHM,Asia-Pacific,4.00E+07,101040000,141040000,16249798,8.679492508,SIDSno,LDCyes,Africano
Cameroon,CMR,Africa,24972964.35,94761121.13,119734085.5,25216237,4.748293153,SIDSno,LDCno,Africayes
Chad,TCD,Africa,7273505.68,15253176.96,22526682.64,15477751,1.455423507,SIDSno,LDCyes,Africayes
Chile,CHL,Latin America and the Caribbean,162607552,1.18E+09,1338607552,18729160,71.47184134,SIDSno,LDCno,Africano
China,CHN,Asia-Pacific,1.00E+08,1311968645,1411968645,1392730000,1.013813621,SIDSno,LDCno,Africano
Cote d'Ivoire,CIV,Africa,25250680.16,45955315.83,71205996,25069229,2.840374389,SIDSno,LDCno,Africayes
Cuba,CUB,Latin America and the Caribbean,38206791,81707393,119914184,11338138,10.57617962,SIDSyes,LDCno,Africano
Democratic Republic of the Congo (the),COD,Africa,2.10E+07,6.80E+07,8.90E+07,84068091,1.058665648,SIDSno,LDCyes,Africayes
Djibouti,DJI,Africa,9090909,65590908.44,74681817.44,958920,77.88117616,SIDSno,LDCyes,Africayes
Dominica,DMA,Latin America and the Caribbean,1.60E+07,22488573,38488573,71625,537.3622757,SIDSyes,LDCno,Africano
Ecuador,ECU,Latin America and the Caribbean,99706702.65,130464012.7,230170715.4,17084357,13.47260042,SIDSno,LDCno,Africano
Egypt,EGY,Africa,266340313.6,1115719373,1382059686,98423595,14.04195494,SIDSno,LDCno,Africayes
El Salvador,SLV,Latin America and the Caribbean,57549612,111838126,169387738,6420744,26.38132559,SIDSno,LDCno,Africano
Eswatini,SWZ,Africa,5561000,11494000,17055000,1136191,15.01068042,SIDSno,LDCno,Africayes
Ethiopia,ETH,Africa,17172500,62679500,79852000,109224559,0.731081002,SIDSno,LDCyes,Africayes
Georgia,GEO,Eastern Europe,41063852.18,101909115.3,142972967.5,3726549,38.36605061,SIDSno,LDCno,Africano
Ghana,GHA,Africa,23572500,30607500,54180000,29767108,1.820129789,SIDSno,LDCno,Africayes
Grenada,GRD,Latin America and the Caribbean,1.60E+07,22488573,38488573,111454,345.3314641,SIDSyes,LDCno,Africano
Guatemala,GTM,Latin America and the Caribbean,1.00E+07,6.90E+07,7.90E+07,16346950,4.832705795,SIDSno,LDCno,Africano
Guinea,GIN,Africa,5949201.72,12475995.84,18425197.56,12414318,1.484189269,SIDSno,LDCyes,Africayes
Guinea-Bissau,GNB,Africa,11385072.79,11385072.79,22770145.58,1874309,12.14855479,SIDSno,LDCyes,Africayes
Haiti,HTI,Latin America and the Caribbean,9900000,35848000,45748000,11123176,4.112854099,SIDSyes,LDCyes,Africano
Honduras,HND,Latin America and the Caribbean,3.50E+07,4.40E+07,7.90E+07,9587522,8.23987679,SIDSno,LDCno,Africano
India,IND,Asia-Pacific,143418606,236850000,380268606,1352617328,0.281135394,SIDSno,LDCno,Africano
Indonesia,IDN,Asia-Pacific,109090910,375590915.7,484681825.7,267663435,1.810788334,SIDSno,LDCno,Africano
Jordan,JOR,Asia-Pacific,41063852.18,101909115.3,142972967.5,9956011,14.36046701,SIDSno,LDCno,Africano
Kazakhstan,KAZ,Asia-Pacific,1.10E+08,4.47E+08,5.57E+08,18276498.5,30.4762972,SIDSno,LDCno,Africano
Kenya,KEN,Africa,66069408.44,187019711.4,253089119.8,51393010,4.924582541,SIDSno,LDCno,Africayes
Kiribati,KIR,Asia-Pacific,28631020,29450000,58081020,115847,501.3597245,SIDSyes,LDCyes,Africano
Kyrgyzstan,KGZ,Asia-Pacific,29988520,20001480,49990000,6322800,7.906307332,SIDSno,LDCno,Africano
Lao People's Democratic Republic (the),LAO,Asia-Pacific,16977151.18,55577267.64,72554418.81,7061507,10.27463668,SIDSno,LDCyes,Africano
Lesotho,LSO,Africa,5561000,11494000,17055000,2108132,8.09010062,SIDSno,LDCyes,Africayes
Madagascar,MDG,Africa,31702891.08,73466944.27,105169835.4,26262368,4.004583111,SIDSno,LDCyes,Africayes
Malawi,MWI,Africa,9090909,65590908.44,74681817.44,18143315,4.116216769,SIDSno,LDCyes,Africayes
Mali,MLI,Africa,49673041.04,39970725.09,89643766.13,19077690,4.698879483,SIDSno,LDCyes,Africayes
Marshall Islands,MHL,Asia-Pacific,2428450,1742770,4171220,58413,71.40910414,SIDSyes,LDCno,Africano
Mauritius,MUS,Africa,55327581.19,209844837.6,265172418.8,1265303,209.5722675,SIDSno,LDCno,Africayes
Mexico,MEX,Latin America and the Caribbean,1.00E+07,6.90E+07,7.90E+07,126190788,0.626036189,SIDSno,LDCno,Africano
Micronesia (Federated States of),FSM,Asia-Pacific,2428620,1742892,4171512,112640,37.03401989,SIDSyes,LDCno,Africano
Moldova,MDA,Eastern Europe,33503852.18,81769115.34,115272967.5,2706049,42.59825581,SIDSno,LDCno,Africano
Mongolia,MNG,Asia-Pacific,214904811.2,602670893.8,817575705,3170208,257.8933953,SIDSno,LDCno,Africano
Morocco,MAR,Africa,138388884.1,301675558.2,440064442.3,36029138,12.21412631,SIDSno,LDCno,Africayes
Namibia,NAM,Africa,30137035.83,63017928.33,93154964.17,2448255,38.04953494,SIDSno,LDCno,Africayes
Nauru,NRU,Asia-Pacific,29338620,40032892,69371512,12704,5460.603904,SIDSyes,LDCno,Africano
Nepal,NPL,Asia-Pacific,39299905,8042248,47342153,28087871,1.685501653,SIDSno,LDCyes,Africano
Niger (the),NER,Africa,28709081.41,31085421.52,59794502.93,22442948,2.664289154,SIDSno,LDCyes,Africayes
Nigeria,NGA,Africa,157948343.8,535676337.5,693624681.3,195874740,3.541164528,SIDSno,LDCno,Africayes
North Macedonia,MKD,Eastern Europe,10823852.18,21349115.34,32172967.53,2082958,15.44580713,SIDSno,LDCno,Africano
Pakistan,PAK,Asia-Pacific,4.90E+07,534500000,583500000,212215030,2.749569623,SIDSno,LDCno,Africano
Papua New Guinea,PNG,Asia-Pacific,2428620,1742892,4171512,8606316,0.48470356,SIDSyes,LDCno,Africano
Paraguay,PRY,Latin America and the Caribbean,101632876,110204619,211837495,6956071,30.45361311,SIDSno,LDCno,Africano
Peru,PER,Latin America and the Caribbean,9810000,27860000,37670000,31989256,1.177582873,SIDSno,LDCno,Africano
Rwanda,RWA,Africa,45294442,42859990,88154432,12301939,7.165897344,SIDSno,LDCyes,Africayes
Saint Kitts and Nevis,KNA,Latin America and the Caribbean,1.60E+07,22488573,38488573,52441,733.9404855,SIDSyes,LDCno,Africano
Saint Lucia,LCA,Latin America and the Caribbean,1.60E+07,22488573,38488573,181889,211.6047315,SIDSyes,LDCno,Africano
Saint Vincent and the Grenadines,VCT,Latin America and the Caribbean,1.60E+07,22488573,38488573,110210,349.2294075,SIDSyes,LDCno,Africano
Samoa,WSM,Asia-Pacific,2428620,1742892,4171512,196130,21.26911742,SIDSyes,LDCno,Africano
Senegal,SEN,Africa,12737402.02,10038997.76,22776399.77,15854360,1.436601652,SIDSno,LDCyes,Africayes
Serbia,SRB,Eastern Europe,41063852.18,101909115.3,142972967.5,6982604,20.47559442,SIDSno,LDCno,Africano
Sierra Leone,SLE,Africa,3570000,24990000,28560000,7650154,3.73325818,SIDSno,LDCyes,Africayes
Solomon Islands,SLB,Asia-Pacific,8.60E+07,155880000,241880000,652858,370.4940431,SIDSyes,LDCyes,Africano
South Africa,ZAF,Africa,139625768.2,518660463.6,658286231.8,57779622,11.39305189,SIDSno,LDCno,Africayes
State of Palestine,PSE,Asia-Pacific,26550707.73,23516237.4,50066945.13,4569087,10.95775702,SIDSno,LDCno,Africano
Tajikistan,TJK,Asia-Pacific,11340000,30210000,41550000,9100837,4.565514139,SIDSno,LDCno,Africano
Tanzania,TZA,Africa,34536170.21,73699659.57,108235829.8,56318348,1.921857328,SIDSno,LDCyes,Africayes
Togo,TGO,Africa,28611030.24,41029059.35,69640089.58,7889094,8.827387477,SIDSno,LDCyes,Africayes
Tonga,TON,Asia-Pacific,32328620,19442892,51771512,103197,501.6765216,SIDSyes,LDCno,Africano
Tunisia,TUN,Africa,71303852.18,182469115.3,253772967.5,11565204,21.9428008,SIDSno,LDCno,Africayes
Uganda,UGA,Africa,37924962.75,148324800.9,186249763.7,42723139,4.359458786,SIDSno,LDCyes,Africayes
Viet Nam,VNM,Asia-Pacific,115823000,421906625,537729625,95540395,5.628296021,SIDSno,LDCno,Africano
Zambia,ZMB,Africa,52500000,101500000,1.54E+08,17351822,8.875148673,SIDSno,LDCyes,Africayes
