CountryName,CountryID,Region,GCFFinancingSummed,CoFinancingSummed,TotalFinanceSummed,Population,TotalGCFbyPopulation,SIDS,LDC,Africa
Armenia,ARM,Eastern Europe,30240000,80560000,110800000,2951776,37.53672365,SIDSno,LDCno,Africano
Benin,BEN,Africa,18078913.78,26261390.82,44340304.59,11485048,3.860698239,SIDSno,LDCyes,Africayes
Burkina Faso,BFA,Africa,14905789.48,17443639.42,32349428.89,19751535,1.637818473,SIDSno,LDCyes,Africayes
Burundi,BDI,Africa,9090909,65590908.44,74681817.44,11175378,6.682710638,SIDSno,LDCyes,Africayes
Cameroon,CMR,Africa,20083070.25,84506585.93,104589656.2,25216237,4.147710707,SIDSno,LDCno,Africayes
Chile,CHL,Latin America and the Caribbean,9.90E+07,1.18E+09,1.28E+09,18729160,68.07566383,SIDSno,LDCno,Africano
Costa Rica,CRI,Latin America and the Caribbean,2216500,1787500,4004000,4999441,0.800889539,SIDSno,LDCno,Africano
Cote d'Ivoire,CIV,Africa,18597984.32,32004031.35,50602015.68,25069229,2.018491102,SIDSno,LDCno,Africayes
Democratic Republic of the Congo (the),COD,Africa,2.10E+07,6.80E+07,8.90E+07,84068091,1.058665648,SIDSno,LDCyes,Africayes
Djibouti,DJI,Africa,9090909,65590908.44,74681817.44,958920,77.88117616,SIDSno,LDCyes,Africayes
Dominican Republic (the),DOM,Latin America and the Caribbean,2216500,1787500,4004000,10627165,0.376770286,SIDSyes,LDCno,Africano
Ecuador,ECU,Latin America and the Caribbean,39962197.65,87628104.7,127590302.4,17084357,7.468253113,SIDSno,LDCno,Africano
Egypt,EGY,Africa,266340313.6,1115719373,1382059686,98423595,14.04195494,SIDSno,LDCno,Africayes
El Salvador,SLV,Latin America and the Caribbean,2216500,1787500,4004000,6420744,0.623603744,SIDSno,LDCno,Africano
Eswatini,SWZ,Africa,5561000,11494000,17055000,1136191,15.01068042,SIDSno,LDCno,Africayes
Ethiopia,ETH,Africa,17172500,62679500,79852000,109224559,0.731081002,SIDSno,LDCyes,Africayes
Georgia,GEO,Eastern Europe,30240000,80560000,110800000,3726549,29.73260247,SIDSno,LDCno,Africano
Ghana,GHA,Africa,30072500,38107500,68180000,29767108,2.290447564,SIDSno,LDCno,Africayes
Guatemala,GTM,Latin America and the Caribbean,12216500,70787500,83004000,16346950,5.077644454,SIDSno,LDCno,Africano
Guinea-Bissau,GNB,Africa,11385072.79,11385072.79,22770145.58,1874309,12.14855479,SIDSno,LDCyes,Africayes
Haiti,HTI,Latin America and the Caribbean,9900000,35848000,45748000,11123176,4.112854099,SIDSyes,LDCyes,Africano
Honduras,HND,Latin America and the Caribbean,2216500,1787500,4004000,9587522,0.41762616,SIDSno,LDCno,Africano
India,IND,Asia-Pacific,1.00E+08,1.50E+08,2.50E+08,1352617328,0.18482685,SIDSno,LDCno,Africano
Indonesia,IDN,Asia-Pacific,9090910,65590915.65,74681825.65,267663435,0.279013925,SIDSno,LDCno,Africano
Jordan,JOR,Asia-Pacific,30240000,80560000,110800000,9956011,11.12895516,SIDSno,LDCno,Africano
