"","CountryID","Gender","GenderScaled"
"1","AFG",0.575,0.675031367628607
"2","ALB",0.234,0.247176913425345
"3","DZA",0.443,0.509410288582183
"4","AGO",0.578,0.678795483061481
"5","ARG",0.354,0.397741530740276
"6","ARM",0.259,0.278544542032622
"7","AUS",0.103,0.0828105395232121
"8","AUT",0.073,0.0451693851944793
"9","AZE",0.321,0.35633626097867
"10","BHS",0.353,0.396486825595985
"11","BHR",0.207,0.213299874529486
"12","BGD",0.536,0.626097867001255
"13","BRB",0.256,0.274780426599749
"14","BLR",0.119,0.10288582183187
"15","BEL",0.045,0.0100376411543287
"16","BLZ",0.391,0.444165621079047
"17","BEN",0.613,0.722710163111669
"18","BTN",0.436,0.500627352572146
"19","BOL",0.446,0.513174404015057
"20","BIH",0.162,0.156838143036386
"21","BWA",0.464,0.535759096612296
"22","BRA",0.386,0.437892095357591
"23","BRN",0.234,0.247176913425345
"24","BGR",0.218,0.227101631116688
"25","BFA",0.612,0.721455457967378
"26","BDI",0.52,0.606022584692597
"27","CPV",0.372,0.420326223337516
"28","KHM",0.474,0.548306148055207
"29","CMR",0.566,0.663739021329987
"30","CAN",0.083,0.0577164366373902
"31","CAF",0.682,0.809284818067754
"32","TCD",0.701,0.833124215809285
"33","CHL",0.288,0.314930991217064
"34","CHN",0.163,0.158092848180678
"35","COL",0.411,0.469259723964868
"36","COG",0.579,0.680050188205772
"37","COD",0.655,0.775407779171895
"38","CRI",0.285,0.311166875784191
"39","HRV",0.122,0.106649937264743
"40","CUB",0.313,0.346298619824341
"41","CYP",0.086,0.0614805520702635
"42","CZE",0.137,0.125470514429109
"43","CIV",0.657,0.777917189460477
"44","DNK",0.04,0.00376411543287328
"45","DOM",0.453,0.521957340025094
"46","ECU",0.389,0.441656210790464
"47","EGY",0.45,0.518193224592221
"48","SLV",0.397,0.451693851944793
"49","EST",0.091,0.067754077791719
"50","SWZ",0.579,0.680050188205772
"51","ETH",0.508,0.590966122961104
"52","FJI",0.357,0.401505646173149
"53","FIN",0.05,0.0163111668757842
"54","FRA",0.051,0.0175658720200753
"55","GAB",0.534,0.623588456712673
"56","GMB",0.62,0.731493099121706
"57","GEO",0.351,0.393977415307403
"58","DEU",0.084,0.0589711417816813
"59","GHA",0.541,0.63237139272271
"60","GRC",0.122,0.106649937264743
"61","GTM",0.492,0.570890840652447
"62","GUY",0.492,0.570890840652447
"63","HTI",0.62,0.731493099121706
"64","HND",0.479,0.554579673776663
"65","HUN",0.258,0.277289836888331
"66","ISL",0.057,0.0250941028858218
"67","IND",0.501,0.582183186951067
"68","IDN",0.451,0.519447929736512
"69","IRN",0.492,0.570890840652447
"70","IRQ",0.54,0.631116687578419
"71","IRL",0.093,0.0702634880803011
"72","ISR",0.1,0.0790464240903388
"73","ITA",0.069,0.0401505646173149
"74","JAM",0.405,0.461731493099122
"75","JPN",0.099,0.0777917189460477
"76","JOR",0.469,0.542032622333752
"77","KAZ",0.203,0.208281053952321
"78","KEN",0.545,0.637390213299875
"79","KOR",0.058,0.0263488080301129
"80","KWT",0.245,0.260978670012547
"81","KGZ",0.381,0.431618569636136
"82","LAO",0.463,0.534504391468005
"83","LVA",0.169,0.165621079046424
"84","LBN",0.362,0.407779171894605
"85","LSO",0.546,0.638644918444166
"86","LBR",0.651,0.77038895859473
"87","LBY",0.172,0.169385194479297
"88","LTU",0.124,0.109159347553325
"89","LUX",0.078,0.0514429109159348
"90","MWI",0.615,0.725219573400251
"91","MYS",0.274,0.297365119196989
"92","MDV",0.367,0.41405269761606
"93","MLI",0.676,0.801756587202008
"94","MLT",0.195,0.198243412797992
"95","MRT",0.62,0.731493099121706
"96","MUS",0.369,0.416562107904642
"97","MEX",0.334,0.372647427854454
"98","MDA",0.228,0.239648682559599
"99","MNG",0.322,0.357590966122961
"100","MNE",0.119,0.10288582183187
"101","MAR",0.492,0.570890840652447
"102","MOZ",0.569,0.667503136762861
"103","MMR",0.459,0.529485570890841
"104","NAM",0.46,0.530740276035132
"105","NPL",0.476,0.550815558343789
"106","NLD",0.041,0.00501882057716437
"107","NZL",0.133,0.120451693851945
"108","NIC",0.455,0.524466750313676
"109","NER",0.647,0.765370138017566
"110","MKD",0.145,0.135508155583438
"111","NOR",0.044,0.00878293601003764
"112","OMN",0.304,0.335006273525721
"113","PAK",0.547,0.639899623588457
"114","PAN",0.46,0.530740276035132
"115","PNG",0.74,0.882057716436637
"116","PRY",0.482,0.558343789209536
"117","PER",0.381,0.431618569636136
"118","PHL",0.425,0.486825595984944
"119","POL",0.12,0.104140526976161
"120","PRT",0.081,0.055207026348808
"121","QAT",0.202,0.20702634880803
"122","ROU",0.316,0.350062735257215
"123","RUS",0.255,0.273525721455458
"124","RWA",0.412,0.470514429109159
"125","LCA",0.333,0.371392722710163
"126","WSM",0.364,0.410288582183187
"127","STP",0.547,0.639899623588457
"128","SAU",0.224,0.234629861982434
"129","SEN",0.523,0.609786700125471
"130","SRB",0.162,0.156838143036386
"131","SLE",0.644,0.761606022584693
"132","SGP",0.065,0.0351317440401506
"133","SVK",0.19,0.191969887076537
"134","SVN",0.069,0.0401505646173149
"135","ZAF",0.422,0.48306148055207
"136","ESP",0.074,0.0464240903387704
"137","LKA",0.38,0.430363864491844
"138","SDN",0.56,0.656210790464241
"139","SUR",0.465,0.537013801756587
"140","SWE",0.04,0.00376411543287328
"141","CHE",0.037,0
"142","SYR",0.547,0.639899623588457
"143","TJK",0.377,0.426599749058971
"144","TZA",0.539,0.629861982434128
"145","THA",0.377,0.426599749058971
"146","TGO",0.566,0.663739021329987
"147","TON",0.418,0.478042659974906
"148","TTO",0.324,0.360100376411543
"149","TUN",0.3,0.329987452948557
"150","TUR",0.305,0.336260978670013
"151","UGA",0.531,0.619824341279799
"152","UKR",0.284,0.3099121706399
"153","ARE",0.113,0.095357590966123
"154","GBR",0.119,0.10288582183187
"155","USA",0.182,0.181932245922208
"156","URY",0.275,0.29861982434128
"157","UZB",0.303,0.33375156838143
"158","VEN",0.458,0.52823086574655
